"Day";"IdLabel";"block";"lockdown_type"
8;"Bat 61";34;0
8;"Bat 61";35;1
8;"Bat 61";36;0
8;"Bat 61";37;0
8;"Bat 61";38;0
8;"Bat 61";39;0
8;"Bat 61";40;0
8;"Bat 61";41;0
8;"Bat 61";42;1
8;"Bat 61";43;0
8;"Bat 61";44;0
8;"Bat 61";45;0
8;"Bat 61";46;0
8;"Bat 61";47;2
8;"Bat 61";48;0
8;"Bat 61";49;0
8;"Bat 61";50;0
8;"Bat 61";51;0
8;"Bat 61";52;1
8;"Bat 63";1;0
8;"Bat 63";2;0
8;"Bat 63";3;0
8;"Bat 63";4;0
8;"Bat 63";5;0
8;"Bat 63";6;0
8;"Bat 63";7;1
8;"Bat 63";8;0
8;"Bat 63";9;0
8;"Bat 63";10;0
8;"Bat 63";11;1
8;"Bat 63";12;0
8;"Bat 63";13;0
8;"Bat 63";14;0
8;"Bat 63";15;2
8;"Bat 63";16;0
8;"Bat 63";17;0
8;"Bat 63";18;0
8;"Bat 63";19;0
8;"Bat 63";20;1
8;"Bat 63";21;0
8;"Bat 63";22;0
8;"Bat 63";23;0
8;"Bat 63";24;2
8;"Bat 63";25;0
8;"Bat 63";26;0
8;"Bat 63";27;0
8;"Bat 63";28;0
8;"Bat 63";29;2
8;"Bat 63";30;0
8;"Bat 63";31;0
8;"Bat 63";32;0
8;"Bat 63";33;0
8;"Bat 63";34;0
8;"Bat 63";35;1
8;"Bat 63";36;0
8;"Bat 63";37;0
8;"Bat 63";38;0
8;"Bat 63";39;0
8;"Bat 63";40;0
8;"Bat 63";41;0
8;"Bat 63";42;1
8;"Bat 63";43;0
8;"Bat 63";44;0
8;"Bat 63";45;0
8;"Bat 63";46;0
8;"Bat 63";47;2
8;"Bat 63";48;0
8;"Bat 63";49;0
8;"Bat 63";50;0
8;"Bat 63";51;0
8;"Bat 63";52;1
8;"Bat 63";53;0
8;"Bat 63";54;0
8;"Bat 63";55;0
8;"Bat 63";56;2
8;"Bat 63";57;0
8;"Bat 63";58;0
8;"Bat 63";59;0
8;"Bat 63";60;2
8;"Bat 63";61;0
8;"Bat 63";62;0
8;"Bat 63";63;0
8;"Bat 63";64;0
8;"Bat 63";65;1
8;"Bat 63";66;0
8;"Bat 63";67;0
8;"Bat 63";68;0
8;"Bat 63";69;0
8;"Bat 63";70;0
8;"Bat 63";71;0
8;"Bat 67";1;0
8;"Bat 67";2;0
8;"Bat 67";3;0
8;"Bat 67";4;0
8;"Bat 67";5;0
8;"Bat 67";6;0
8;"Bat 67";7;1
8;"Bat 67";8;0
8;"Bat 67";9;0
8;"Bat 67";10;0
8;"Bat 67";11;1
8;"Bat 67";12;0
8;"Bat 67";13;0
8;"Bat 67";14;0
8;"Bat 67";15;2
8;"Bat 67";16;0
8;"Bat 67";17;0
8;"Bat 67";18;0
8;"Bat 67";19;0
8;"Bat 67";20;1
8;"Bat 67";21;0
8;"Bat 67";22;0
8;"Bat 67";23;0
8;"Bat 67";24;2
8;"Bat 67";25;0
